N,Название,Ценник,Чего делать,Чего хотят,URL
64,Аналитик по информационной безопасности [id85344],,Разработка и поддержание актуальности ресурсно-сервисных моделей (РСМ) для использования в процессе управления уязвимостями. Анализ и идентификация обнаруженных внутренних сервисов...,"Понимание основ информационной безопасности (ИБ). Знакомство с ITIL, умение организовать процессы. Опыт кросс-взаимодействия между отделами. Высшее образование (желательно по...",https://hh.ru/vacancy/42154577
65,Ведущий специалист отдела делопроизводства и документационного обеспечения [id92765],,Проверка проектов доверенностей и распорядительных документов на сответствие требованиям локальным нормативным актам Общества. Регистрация распорядительных документов и доверенностей. ,Высшее образование (желательно документационное обеспечение). Опыт работы в документообороте от 1 года. Знание нормативных документов в сфере документационного обеспечения управления. ,https://hh.ru/vacancy/42161746
66,Бизнес-аналитик [id78401],,"Выявление и анализ бизнес-потребностей, формирование бизнес-требований, функциональных требований. Обследование бизнес-процессов (подготовка опросника, проведение интервью, подготовка отчета об...",Высшее образование. Аналогичный опыт работы от 3 лет. Наличие завершенных проектов по профилю. Практический опыт использования инструментов формализации бизнес-процессов...,https://hh.ru/vacancy/42166451
67,Начальник отдела календарно-сетевого планирования,,"Разработку календарно-сетевого графика выполнения работ (работа в специализированном ПО Oracle Primavera) с использованием графиков подрядчиков, проектной и рабочей документации...",Высшее экономическое или техническое образование. Профессиональный упровень владения ПО Oracle Primavera. Опыт работы по направлению от 5 лет. ,https://hh.ru/vacancy/42173828
68,Инженер (монтажник-проектировщик),,"Разработка рабочей документации в частях ТХ и МО для опасных производственных объектов. Проведение прочностных расчётов, составление пояснительных записок по проектам. ","Профильное высшее образование. Опыт работы не менее 5 лет в проектной организации.. Знание ГОСТ, СП, ПУЭ и др. ",https://hh.ru/vacancy/42180025
69,Главный специалист по информационной безопасности (ССЗИ) [id81982],,"Работа на второй линии поддержки процесса управления обращениями (HP SM). Эксплуатация межсетевых экранов, систем предотвращения вторжений, сетевых средств криптографической защиты. ","Общие теоретические знания в области информационной безопасности. Знание программных, аппаратных средств обеспечения безопасности в области информационных технологий. Наличие сертификатов CCNA...",https://hh.ru/vacancy/42194027
70,Разработчик Битрикс и Битрикс24 [id91642],,"Разработка новых решений и доработка текущих. Проектирование и реализация интеграционных решений. Экспертиза и исследование решений на предмет доработок, улучшений. ","Опыт работы с PHP (5-7), JS (ES2015), HTML (5), CSS (3) и БД (MySQL, SQL). Опыт работы с...",https://hh.ru/vacancy/42195956
71,Электромонтёр ОВБ [id80662],,"Оперативное обслуживание электроустановок технологических объектов. Оперативное обслуживание электроустановок до и выше 1000В (0,4кВ, 6-10кВ, 110...","Средне-специальное или высшее техническое образование (электрика, энергетика). Наличие практического опыта работы по специальности не менее 2 лет (на предприятиях...",https://hh.ru/vacancy/42204532
72,Java разработчик [id92962],,"Участие в проектировании и разработке ядра современной IdM системы промышленного уровня. Участие в проектировании и разработке модулей, реализующих бизнес логику...",Опыт программирования на Java от 2 лет. Уверенное знание Java Core. Свободное ориентирование в принципах ООП. Знание и практический опыт...,https://hh.ru/vacancy/42210560
73,Руководитель Центра развития пользовательского опыта [id80682],,"Управление циклом исследования внутреннего сотрудника, сегментирование, профилирование, построение eejm и метрик. Организация исследований под ключ, включая привлечение внешнего ресурса (исследовательские...","Высшее образование. Желателен опыт продуктового дизайна. Опыт построения ejm и cjm. Сильные навыки проведения интервью, планирования и организации проведения исследований...",https://hh.ru/vacancy/42247448
